Day,Hour,People,Infected,Dead
0,7,100,1,0
0,8,97,3,3
0,9,97,3,3
0,10,97,3,3
0,11,97,3,3
0,12,97,3,3
0,13,97,3,3
0,14,97,3,3
0,15,97,3,3
0,16,97,3,3
0,17,93,24,7
0,18,93,24,7
0,19,93,24,7
0,20,93,24,7
0,21,93,24,7
0,22,93,24,7
0,23,93,24,7
1,0,92,24,8
1,1,91,26,9
1,2,91,26,9
1,3,91,26,9
1,4,91,26,9
1,5,91,26,9
1,6,91,26,9
1,7,91,26,9
1,8,87,60,13
1,9,87,60,13
1,10,87,60,13
1,11,87,60,13
1,12,87,60,13
1,13,87,60,13
1,14,87,60,13
1,15,87,60,13
1,16,87,60,13
1,17,82,65,18
1,18,82,65,18
1,19,82,65,18
1,20,82,65,18
1,21,82,65,18
1,22,80,64,20
1,23,80,64,20
2,0,80,64,20
2,1,79,66,21
2,2,79,66,21
2,3,79,66,21
2,4,79,66,21
2,5,79,66,21
2,6,79,66,21
2,7,79,66,21
2,8,72,63,28
2,9,72,63,28
2,10,72,63,28
2,11,72,63,28
2,12,72,63,28
2,13,72,63,28
2,14,72,63,28
2,15,72,63,28
2,16,72,63,28
2,17,68,62,32
2,18,68,62,32
2,19,68,62,32
2,20,68,62,32
2,21,68,62,32
2,22,68,62,32
2,23,68,62,32
3,0,68,62,32
3,1,67,61,33
3,2,67,61,33
3,3,67,61,33
3,4,67,61,33
3,5,67,61,33
3,6,67,61,33
3,7,67,61,33
3,8,65,61,35
3,9,65,61,35
3,10,65,61,35
3,11,65,61,35
3,12,65,61,35
3,13,65,61,35
3,14,65,61,35
3,15,65,61,35
3,16,65,61,35
3,17,63,59,37
3,18,63,59,37
3,19,63,59,37
3,20,63,59,37
3,21,63,59,37
3,22,63,59,37
3,23,63,59,37
4,0,63,59,37
4,1,62,58,38
4,2,62,58,38
4,3,62,58,38
4,4,62,58,38
4,5,62,58,38
4,6,62,58,38
4,7,62,58,38
4,8,59,58,41
4,9,59,58,41
4,10,59,58,41
4,11,59,58,41
4,12,59,58,41
4,13,59,58,41
4,14,59,58,41
4,15,59,58,41
4,16,59,58,41
4,17,56,55,44
4,18,56,55,44
4,19,56,55,44
4,20,56,55,44
4,21,56,55,44
4,22,56,55,44
4,23,55,54,45
5,0,55,54,45
5,1,55,54,45
5,2,55,54,45
5,3,55,54,45
5,4,55,54,45
5,5,55,54,45
5,6,55,54,45
5,7,55,54,45
5,8,52,51,48
5,9,52,51,48
5,10,52,51,48
5,11,52,51,48
5,12,52,51,48
5,13,52,51,48
5,14,52,51,48
5,15,52,51,48
